2026-05-23 | [西11]科罗拉多急流 vs 达拉斯FC[西5] | 1-2 | 1-2
2026-05-23 | [西13]波特兰伐木者 vs 圣何塞地震[西2] | 1-3 | 1-3
2026-05-24 | [西9]洛杉矶银河 vs 休斯敦迪纳摩[西7] | 1-1 | 1-1
2026-05-24 | [东13]哥伦布机员 vs 亚特兰大联[东14] | 2-0 | 2-0
2026-05-24 | [东2]迈阿密国际 vs 费城联合[东15] | 4-4 | 6-4
2026-05-24 | [西8]洛杉矶FC vs 西雅图海湾人[西5] | 0-0 | 1-0
2026-07-16 | [东11]CF蒙特利尔 vs 多伦多FC[东13] | 0-0 | 0-0
2026-07-16 | [西12]圣路易斯城 vs 堪萨斯城竞技[西15] | 2-1 | 3-2
2026-07-17 | [西6]西雅图海湾人 vs 波特兰伐木者[西13] | 0-1 | 1-5
2026-07-17 | [东1]纳什威尔SC vs 亚特兰大联[东14] | 0-0 | 1-0
2026-07-18 | [西9]洛杉矶银河 vs 洛杉矶FC[西5] | 0-2 | 0-3
2026-07-22 | [东15]费城联合 vs 纽约红牛[东5] | 1-1 | 3-1
2026-07-22 | [东7]辛辛那提 vs 温哥华白浪[西1] | 3-2 | 4-3
2026-07-22 | [东10]哥伦布机员 vs 纽约城[东8] | 0-1 | 1-2
2026-07-22 | [东2]迈阿密国际 vs 芝加哥火焰[东3] | 1-1 | 3-2
2026-07-22 | [东4]新英格兰革命 vs 多伦多FC[东12] | 0-0 | 0-0
2026-07-22 | [东6]夏洛特FC vs 亚特兰大联[东14] | 2-0 | 2-2
2026-07-22 | [西7]休斯敦迪纳摩 vs 华盛顿联[东9] | 1-0 | 1-1
2026-07-22 | [西15]堪萨斯城竞技 vs 明尼苏达联[西8] | 1-0 | 2-1
2026-07-22 | [东1]纳什威尔SC vs CF蒙特利尔[东11] | 0-0 | 1-0
2026-07-22 | [西14]奥斯汀FC vs 西雅图海湾人[西6] | 1-1 | 3-1
2026-07-22 | [西13]科罗拉多急流 vs 圣地亚哥[西12] | 0-0 | 1-0
2026-07-23 | [西11]波特兰伐木者 vs 达拉斯FC[西5] | 0-1 | 2-2
2026-07-23 | [西3]洛杉矶FC vs 皇家盐湖城[西4] | 2-0 | 3-1
2026-07-23 | [西2]圣何塞地震 vs 奥兰多城[东13] | 0-2 | 0-4
2026-07-23 | [西9]洛杉矶银河 vs 圣路易斯城[西10] | 0-2 | 1-3
2026-07-25 | [东8]纽约红牛 vs 夏洛特FC[东7] | 0-2 | 0-2
2026-07-25 | [东11]哥伦布机员 vs 辛辛那提[东5] | 2-1 | 2-1
2026-07-25 | [东9]华盛顿联 vs 多伦多FC[东12] | 1-0 | 2-1
2026-07-25 | [东6]纽约城 vs 芝加哥火焰[东3] | 3-1 | 3-1
2026-07-25 | [东15]费城联合 vs 西雅图海湾人[西6] | 1-0 | 1-0
2026-07-25 | [东4]新英格兰革命 vs 亚特兰大联[东14] | 2-0 | 4-1
2026-07-25 | [东13]CF蒙特利尔 vs 迈阿密国际[东2] | 0-0 | 0-1
2026-07-25 | [西8]圣路易斯城 vs 科罗拉多急流[西11] | 0-0 | 1-0
2026-07-25 | [西7]休斯敦迪纳摩 vs 奥斯汀FC[西14] | 3-0 | 3-0
2026-07-25 | [西9]明尼苏达联 vs 温哥华白浪[西1] | 0-0 | 0-0
2026-07-25 | [东10]奥兰多城 vs 纳什威尔SC[东1] | 0-0 | 1-0
2026-07-25 | [西13]圣地亚哥 vs 达拉斯FC[西5] | 0-0 | 1-0
2026-07-26 | [西12]波特兰伐木者 vs 皇家盐湖城[西4] | 0-1 | 2-1
2026-07-26 | [西3]洛杉矶FC vs 堪萨斯城竞技[西15] | 3-0 | 4-0
2026-07-26 | [西2]圣何塞地震 vs 洛杉矶银河[西10] | 0-1 | 1-1
