date,no,league,lgc,lam,xg_h,xg_a,shot_h,shot_a,sot_h,sot_a,cor_h,cor_a,big_h,big_a,inj_h,inj_a,temp,rain,rank_gap,h2h_edge,xg_diff,shot_diff,sot_diff,cor_diff,big_diff,inj_diff,act,act_dir,act_htft,act_balls,act_h,act_a,act_hh,act_ha,v11_dir_hit,v11_score_hit,v11_ht_hit,v11_ou_hit
2026-08-08,014,瑞超,lg-swe,,1.01,2.97,11.0,24.0,,,,,,,,,,,,,-1.9600000000000002,-13.0,,,,,0-1（0-1）,客胜,负负,1,0,1,0.0,1.0,ok,ok,ok,
2026-08-08,015,芬超,lg-fin,,,,15.0,17.0,5.0,7.0,,,,,,,,,,,,-2.0,-2.0,,,,1-3（1-2）,客胜,负负,4,1,3,1.0,2.0,ok,no,ok,
2026-08-08,016,荷甲,lg-ered,,2.43,1.51,20.0,13.0,,,,,,,,,,,,,0.9200000000000002,7.0,,,,,4-1（1-1）,主胜,平胜,5,4,1,1.0,1.0,ok,no,no,
2026-08-08,017,葡超,lg-prime,,2.28,0.43,24.0,4.0,,,,,,,,,,,,,1.8499999999999999,20.0,,,,,0-1（0-0）,客胜,平负,1,0,1,0.0,0.0,no,no,no,
2026-08-08,018,荷甲,lg-ered,,2.56,0.98,21.0,8.0,,,,,,,,,,,,,1.58,13.0,,,,,2-2（0-1）,平,负平,4,2,2,0.0,1.0,no,no,no,
2026-08-08,019,法乙,lg-l2,,1.16,1.19,17.0,9.0,,,,,,,,,,,,,-0.030000000000000027,8.0,,,,,0-1（0-1）,客胜,负负,1,0,1,0.0,1.0,ok,ok,ok,
2026-08-08,020,法乙,lg-l2,,2.5,1.28,27.0,12.0,,,,,,,,,,,,,1.22,15.0,,,,,1-1（0-0）,平,平平,2,1,1,0.0,0.0,no,no,ok,
2026-08-08,021,法乙,lg-l2,,0.59,1.12,10.0,14.0,,,,,,,,,,,,,-0.5300000000000001,-4.0,,,,,0-1（0-0）,客胜,平负,1,0,1,0.0,0.0,no,no,ok,
2026-08-08,022,荷甲,lg-ered,,2.74,0.86,12.0,10.0,,,,,,,,,,,,,1.8800000000000003,2.0,,,,,2-0（0-0）,主胜,平胜,2,2,0,0.0,0.0,ok,ok,ok,
2026-08-08,023,巴甲,lg-bras,,1.45,1.94,12.0,19.0,,,,,,,,,,,,,-0.49,-7.0,,,,,2-1（0-1）,主胜,负胜,3,2,1,0.0,1.0,ok,ok,no,
2026-08-08,024,葡超,lg-prime,,1.1,2.63,8.0,15.0,,,,,,,,,,,,,-1.5299999999999998,-7.0,,,,,2-2（0-0）,平,平平,4,2,2,0.0,0.0,no,no,ok,
2026-08-08,025,巴甲,lg-bras,,1.39,1.0,22.0,14.0,,,,,,,,,,,,,0.3899999999999999,8.0,,,,,1-1（1-0）,平,胜平,2,1,1,1.0,0.0,ok,ok,ok,
2026-08-06,001,巴西杯,lg-bras,,,,13.0,14.0,4.0,6.0,,,,,,,,,,,,-1.0,-2.0,,,,1-3（0-1）,客胜,负负,4,1,3,0.0,1.0,no,no,no,
