date,no,league,lgc,lam,xg_h,xg_a,shot_h,shot_a,sot_h,sot_a,cor_h,cor_a,big_h,big_a,inj_h,inj_a,temp,rain,rank_gap,h2h_edge,xg_diff,shot_diff,sot_diff,cor_diff,big_diff,inj_diff,act,act_dir,act_htft,act_balls,act_h,act_a,act_hh,act_ha,v11_dir_hit,v11_score_hit,v11_ht_hit,v11_ou_hit,hm_n_h,hm_fh_sc_h,hm_fh_cc_h,hm_ht_lead_h,hm_ht_trail_h,hm_first_min_h,hm_fh_share_h,hm_n_a,hm_fh_sc_a,hm_fh_cc_a,hm_ht_lead_a,hm_ht_trail_a,hm_first_min_a,hm_fh_share_a,hm_fh_sc_diff,hm_fh_cc_diff,hm_ht_lead_diff,hm_ht_trail_diff,hm_first_min_diff,hm_fh_share_diff,lam_h,lam_a,rain_p,h2h_wr,form5_w,form5_d,form5_l,form_gf,form_ga,lam_sum
2026-08-07,007,荷乙,lg-eers,,,,15.0,9.0,7.0,4.0,,,,,,,,,,,,6.0,3.0,,,,1-0（0-0）,主胜,平胜,1,1,0,0.0,0.0,no,no,no,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,008,德乙,lg-bundes2,,1.16,0.74,13.0,11.0,,,,,,,,,,,,,0.4199999999999999,2.0,,,,,0-1（0-1）,客胜,负负,1,0,1,0.0,1.0,no,no,no,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,009,英联杯,lg-champ,,1.63,1.59,13.0,11.0,,,,,,,,,,,,,0.0399999999999998,2.0,,,,,1-0（0-0）,主胜,平胜,1,1,0,0.0,0.0,ok,ok,ok,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,010,葡超,lg-prime,,1.06,1.47,14.0,6.0,,,,,,,,,21.0,,8.0,0.862,-0.4099999999999999,8.0,,,,,1-1（0-1）,平,负平,2,1,1,0.0,1.0,no,no,no,,0,,,,,,,0,,,,,,,,,,,,,2.3,0.7,,0.862,,,,2.0,13.0,3.0
2026-08-07,011,巴西杯,lg-bras,,,,16.0,14.0,9.0,3.0,,,,,,,20.0,,8.0,0.261,,2.0,6.0,,,,4-0（2-0）,主胜,胜胜,4,4,0,2.0,0.0,no,no,no,,3,0.0,1.0,0.0,0.667,5.0,0.0,4,0.5,0.25,0.5,0.25,9.7,0.333,-0.5,0.75,-0.5,0.417,-4.7,-0.333,1.05,1.35,,0.522,,,,18.0,14.0,2.4000000000000004
2026-08-07,012,欧联资格赛,lg-uel,,,,,,,,,,,,,,,,,,,,,,,,2-1（2-1）,主胜,胜胜,3,2,1,2.0,1.0,ok,no,ok,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,013,欧联资格赛,lg-uel,,,,,,2.0,2.0,5.0,1.0,,,,,,,,,,,0.0,4.0,,,0-1（0-1）,客胜,负负,1,0,1,0.0,1.0,no,no,no,,0,,,,,,,2,0.5,0.5,0.5,0.5,4.0,0.25,,,,,,,,,,,,,,,,
2026-08-07,014,欧联资格赛,lg-uel,,,,,,,,,,,,,,,,,,,,,,,,6-1（3-0）,主胜,胜胜,7,6,1,3.0,0.0,ok,no,ok,,2,1.0,0.5,0.5,0.0,24.0,0.333,2,0.0,0.5,0.0,0.5,34.0,0.0,1.0,0.0,0.5,-0.5,-10.0,0.333,,,,,,,,,,
2026-08-08,001,日职联,lg-j1,,0.78,1.35,6.0,17.0,,,,,,,,,,,,,-0.5700000000000001,-11.0,,,,,2-1（2-1）,主胜,胜胜,3,2,1,2.0,1.0,ok,ok,ok,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-08,002,日职乙,lg-j2,,,,9.0,8.0,2.0,4.0,2.0,6.0,,,,,,,,,,1.0,-2.0,-4.0,,,1-0（1-0）,主胜,胜胜,1,1,0,1.0,0.0,ok,ok,ok,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
